Image Name,Healthy (true/false),How Healthy? (1-10),Lighting Conditions (sun/partial/shade),
grass (156).jpg,TRUE,8,sun,
grass (157).jpg,TRUE,8,sun,
grass (158).jpg,TRUE,7,partial,
grass (159).jpg,TRUE,8,partial,
grass (160).jpg,TRUE,6,sun,
grass (161).jpg,TRUE,5,partial,
grass (162).jpg,TRUE,7,shade,
grass (163).jpg,TRUE,6,sun,
grass (164).jpg,TRUE,7,partial,
grass (165).jpg,TRUE,7,partial,
grass (166).jpg,TRUE,7,partial,
grass (167).jpg,TRUE,8,partial,
grass (168).jpg,TRUE,7,partial,
grass (169).jpg,TRUE,7,sun,
grass (170).jpg,TRUE,7,sun,
grass (171).jpg,TRUE,8,sun,
grass (172).jpg,TRUE,7,sun,
grass (173).jpg,TRUE,6,sun,
grass (174).jpg,TRUE,8,partial,
grass (175).jpg,TRUE,8,shade,
grass (176).jpg,TRUE,7,partial,
grass (177).jpg,TRUE,7,partial,
grass (178).jpg,TRUE,6,partial,
grass (179).jpg,TRUE,9,partial,
grass (180).jpg,TRUE,7,partial,
grass (181).jpg,TRUE,6,shade,
grass (182).jpg,TRUE,5,sun,
grass (183).jpg,TRUE,5,sun,
grass (184).jpg,TRUE,6,partial,
grass (185).jpg,TRUE,6,shade,
grass (186).jpg,TRUE,6,partial,
grass (187).jpg,TRUE,7,partial,
grass (188).jpg,TRUE,7,partial,
grass (189).jpg,TRUE,7,partial,
grass (190).jpg,TRUE,5,partial,
grass (191).jpg,TRUE,5,partial,
grass (192).jpg,TRUE,5,partial,
grass (193).jpg,TRUE,6,partial,
grass (194).jpg,TRUE,7,partial,
grass (195).jpg,TRUE,6,partial,
grass (196).jpg,TRUE,6,partial,
grass (197).jpg,TRUE,6,partial,
grass (198).jpg,TRUE,6,partial,
grass (199).jpg,TRUE,5,partial,
grass (200).jpg,TRUE,5,partial,
grass (201).jpg,TRUE,6,partial,
grass (202).jpg,TRUE,7,partial,
grass (203).jpg,TRUE,8,partial,
grass (204).jpg,TRUE,8,shade,
grass (205).jpg,TRUE,6,shade,
grass (206).jpg,TRUE,7,shade,
grass (207).jpg,TRUE,6,shade,
grass (208).jpg,TRUE,6,partial,
grass (209).jpg,TRUE,6,partial,
grass (210).jpg,TRUE,6,partial,
grass (211).jpg,TRUE,5,shade,
grass (212).jpg,TRUE,6,shade,
grass (213).jpg,TRUE,5,shade,
grass (214).jpg,TRUE,6,shade,
grass (215).jpg,TRUE,8,shade,
grass (216).jpg,TRUE,7,shade,
grass (217).jpg,TRUE,6,shade,
grass (218).jpg,TRUE,5,partial,
grass (219).jpg,TRUE,6,partial,
grass (220).jpg,TRUE,5,shade,
grass (221).jpg,FALSE,4,shade,
grass (222).jpg,FALSE,4,shade,
grass (223).jpg,FALSE,3,shade,
grass (224).jpg,FALSE,4,shade,
grass (225).jpg,FALSE,4,shade,
grass (226).jpg,FALSE,4,shade,
grass (227).jpg,FALSE,4,partial,
grass (228).jpg,FALSE,4,partial,
grass (229).jpg,FALSE,3,partial,
grass (230).jpg,TRUE,5,sun,
grass (231).jpg,TRUE,5,sun,
grass (232).jpg,TRUE,5,partial,
grass (233).jpg,TRUE,5,partial,
grass (234).jpg,TRUE,5,shade,
grass (235).jpg,FALSE,4,shade,
grass (236).jpg,TRUE,7,shade,
grass (237).jpg,TRUE,6,shade,
grass (238).jpg,TRUE,5,shade,
grass (239).jpg,FALSE,4,shade,
grass (240).jpg,FALSE,4,shade,
grass (241).jpg,TRUE,5,shade,
grass (242).jpg,TRUE,5,shade,
grass (243).jpg,TRUE,5,shade,
grass (244).jpg,FALSE,3,shade,
grass (245).jpg,TRUE,5,partial,
grass (246).jpg,FALSE,4,partial,
grass (247).jpg,FALSE,4,shade,
grass (248).jpg,TRUE,5,sun,
grass (249).jpg,TRUE,6,partial,
grass (250).jpg,TRUE,6,sun,
grass (251).jpg,TRUE,6,sun,
grass (252).jpg,TRUE,7,sun,
grass (253).jpg,TRUE,7,sun,
grass (254).jpg,TRUE,6,sun,
grass (255).jpg,TRUE,7,sun,
grass (256).jpg,TRUE,5,sun,
grass (257).jpg,TRUE,6,sun,
grass (258).jpg,TRUE,8,partial,
grass (259).jpg,TRUE,8,partial,
grass (260).jpg,TRUE,8,partial,
grass (261).jpg,TRUE,7,partial,
grass (262).jpg,TRUE,5,partial,
grass (263).jpg,TRUE,5,partial,
grass (264).jpg,TRUE,5,shade,
grass (265).jpg,TRUE,5,shade,
grass (266).jpg,TRUE,5,shade,
grass (267).jpg,TRUE,5,shade,
grass (268).jpg,TRUE,6,shade,
grass (269).jpg,TRUE,6,partial,
grass (270).jpg,TRUE,6,partial,
grass (271).jpg,TRUE,5,partial,
grass (272).jpg,TRUE,5,partial,
grass (273).jpg,TRUE,6,shade,
grass (274).jpg,TRUE,7,shade,
grass (275).jpg,TRUE,6,shade,
grass (276).jpg,TRUE,6,shade,
grass (277).jpg,TRUE,7,partial,
grass (278).jpg,TRUE,7,partial,
grass (279).jpg,TRUE,8,shade,
grass (280).jpg,TRUE,8,shade,
grass (281).jpg,TRUE,7,shade,
grass (282).jpg,TRUE,6,shade,
grass (283).jpg,TRUE,7,shade,
grass (284).jpg,TRUE,7,shade,
grass (285).jpg,TRUE,7,shade,
grass (286).jpg,TRUE,7,shade,
grass (287).jpg,TRUE,7,shade,
grass (288).jpg,TRUE,8,shade,
grass (289).jpg,TRUE,6,partial,
grass (290).jpg,TRUE,6,shade,
grass (291).jpg,TRUE,7,shade,
grass (292).jpg,TRUE,7,partial,
grass (293).jpg,TRUE,8,shade,
grass (294).jpg,TRUE,8,shade,
grass (295).jpg,TRUE,6,partial,
grass (296).jpg,TRUE,7,partial,
grass (297).jpg,TRUE,6,partial,
grass (298).jpg,TRUE,6,partial,
grass (299).jpg,TRUE,5,partial,
grass (300).jpg,TRUE,5,partial,
grass (301).jpg,TRUE,5,partial,
grass (302).jpg,TRUE,5,partial,
grass (303).jpg,TRUE,5,partial,
grass (304).jpg,TRUE,5,partial,
grass (305).jpg,TRUE,6,shade,
grass (306).jpg,FALSE,4,shade,
grass (307).jpg,FALSE,4,shade,
grass (308).jpg,TRUE,6,shade,
grass (309).jpg,FALSE,3,shade,
grass (310).jpg,FALSE,3,shade,
grass (311).jpg,FALSE,4,patial,
grass (312).jpg,FALSE,3,shade,
grass (313).jpg,TRUE,5,shade,
grass (314).jpg,TRUE,5,shade,
grass (315).jpg,TRUE,5,shade,
grass (316).jpg,FALSE,4,partial,
grass (317).jpg,TRUE,5,partial,
grass (318).jpg,TRUE,6,shade,
grass (319).jpg,TRUE,6,shade,
grass (320).jpg,TRUE,6,shade,
grass (321).jpg,TRUE,8,shade,
grass (322).jpg,TRUE,8,shade,
grass (323).jpg,TRUE,7,shade,
grass (324).jpg,TRUE,6,partial,
grass (325).jpg,TRUE,8,partial,
grass (326).jpg,TRUE,6,partial,
grass (327).jpg,TRUE,5,shade,
grass (328).jpg,TRUE,5,shade,
grass (329).jpg,TRUE,6,shade,
grass (330).jpg,TRUE,5,shade,
grass (331).jpg,FALSE,4,shade,
grass (332).jpg,FALSE,3,shade,
grass (333).jpg,FALSE,3,partial,
grass (334).jpg,TRUE,5,shade,
grass (335).jpg,TRUE,5,shade,blurry
grass (336).jpg,TRUE,5,partial,
grass (337).jpg,FALSE,4,partial,
grass (338).jpg,FALSE,4,partial,
grass (339).jpg,FALSE,4,partial,
grass (340).jpg,FALSE,4,shade,
grass (341).jpg,TRUE,5,shade,
grass (342).jpg,TRUE,5,shade,
grass (343).jpg,TRUE,5,shade,
grass (344).jpg,TRUE,6,shade,
grass (345).jpg,TRUE,5,shade,
grass (346).jpg,TRUE,5,shade,
grass (347).jpg,TRUE,5,shade,
grass (348).jpg,TRUE,6,shade,
grass (349).jpg,TRUE,6,shade,
grass (350).jpg,TRUE,6,shade,
grass (351).jpg,TRUE,5,shade,
grass (352).jpg,TRUE,5,shade,
grass (353).jpg,TRUE,6,shade,
grass (354).jpg,TRUE,5,shade,
grass (355).jpg,TRUE,8,shade,
grass (356).jpg,TRUE,8,shade,
grass (357).jpg,TRUE,8,shade,
grass (358).jpg,TRUE,6,partial,
grass (359).jpg,FALSE,4,shade,
grass (360).jpg,TRUE,5,shade,
grass (361).jpg,TRUE,5,shade,
grass (362).jpg,FALSE,2,shade,
grass (363).jpg,TRUE,5,shade,doggo
grass (364).jpg,FALSE,3,shade,
grass (365).jpg,FALSE,2,shade,
grass (366).jpg,FALSE,4,shade,
grass (367).jpg,FALSE,4,shade,
grass (368).jpg,FALSE,3,shade,
grass (369).jpg,FALSE,3,shade,blurry
grass (370).jpg,FALSE,2,shade,
grass (371).jpg,FALSE,3,partial,
grass (372).jpg,FALSE,3,shade,
grass (373).jpg,FALSE,3,shade,blurry
grass (374).jpg,FALSE,4,shade,
grass (375).jpg,FALSE,4,shade,
grass (376).jpg,TRUE,5,shade,
grass (377).jpg,FALSE,4,shade,
grass (378).jpg,FALSE,4,shade,
grass (379).jpg,TRUE,7,shade,
grass (380).jpg,TRUE,6,shade,
grass (381).jpg,FALSE,4,shade,
grass (382).jpg,FALSE,4,shade,
grass (383).jpg,TRUE,5,shade,
grass (384).jpg,TRUE,6,shade,
grass (385).jpg,TRUE,5,shade,
grass (386).jpg,FALSE,4,shade,
grass (387).jpg,TRUE,6,shade,
grass (388).jpg,TRUE,5,shade,
grass (389).jpg,TRUE,6,shade,
grass (390).jpg,TRUE,6,shade,no photo found
grass (391).jpg,TRUE,5,shade,pls double check
grass (392).jpg,TRUE,6,sun,
grass (393).jpg,FALSE,3,sun,
grass (394).jpg,TRUE,7,partial,
grass (395).jpg,FALSE,3,partial,
grass (396).jpg,FALSE,4,partial,
grass (397).jpg,FALSE,4,partial,
grass (398).jpg,FALSE,4,partial,
grass (399).jpg,FALSE,4,partial,
grass (400).jpg,FALSE,4,partial,
grass (401).jpg,FALSE,4,partial,
grass (402).jpg,FALSE,4,sun,
grass (403).jpg,FALSE,4,sun,
grass (404).jpg,FALSE,4,sun,
grass (405).jpg,FALSE,4,sun,
grass (406).jpg,FALSE,4,sun,
grass (407).jpg,FALSE,4,sun,
grass (408).jpg,FALSE,4,sun,
grass (409).jpg,FALSE,3,sun,
grass (410).jpg,FALSE,4,sun,
grass (411).jpg,FALSE,4,sun,
grass (412).jpg,FALSE,4,partial,
grass (413).jpg,FALSE,4,partial,
grass (414).jpg,FALSE,4,partial,
grass (415).jpg,FALSE,3,partial,
grass (416).jpg,FALSE,3,partial,
grass (417).jpg,FALSE,4,partial,
grass (418).jpg,TRUE,5,partial,
grass (419).jpg,TRUE,5,partial,
grass (420).jpg,TRUE,5,partial,
grass (421).jpg,FALSE,4,partial,
grass (422).jpg,FALSE,4,partial,
grass (423).jpg,FALSE,4,partial,
grass (424).jpg,FALSE,4,partial,
grass (425).jpg,TRUE,5,partial,
grass (426).jpg,FALSE,3,partial,
grass (427).jpg,FALSE,3,partial,
grass (428).jpg,FALSE,2,partial,
grass (429).jpg,FALSE,2,shade,
grass (430).jpg,FALSE,2,partial,
grass (431).jpg,FALSE,4,partial,
grass (432).jpg,FALSE,4,partial,
grass (433).jpg,FALSE,4,partial,
grass (434).jpg,FALSE,4,partial,
grass (435).jpg,FALSE,4,partial,
grass (436).jpg,FALSE,3,partial,
grass (437).jpg,FALSE,4,partial,
grass (438).jpg,TRUE,6,sun,
grass (439).jpg,TRUE,6,sun,
grass (440).jpg,TRUE,6,sun,
grass (441).jpg,TRUE,6,sun,
grass (442).jpg,TRUE,6,sun,
grass (443).jpg,TRUE,5,sun,
grass (444).jpg,TRUE,6,sun,
grass (445).jpg,TRUE,6,sun,
grass (446).jpg,TRUE,7,sun,
grass (447).jpg,TRUE,6,sun,
grass (448).jpg,TRUE,6,sun,shoe
grass (449).jpg,TRUE,5,sun,
grass (450).jpg,TRUE,5,sun,
grass (451).jpg,TRUE,7,partial,
grass (452).jpg,TRUE,8,partial,
grass (453).jpg,TRUE,7,sun,
grass (454).jpg,TRUE,7,sun,
grass (455).jpg,TRUE,5,partial,
grass (456).jpg,TRUE,5,partial,
grass (457).jpg,TRUE,6,sun,
grass (458).jpg,TRUE,6,sun,
grass (459).jpg,TRUE,5,partial,
grass (460).jpg,TRUE,5,partial,
grass (461).jpg,TRUE,5,partial,
grass (462).jpg,TRUE,6,partial,
grass (463).jpg,TRUE,6,partial,
grass (464).jpg,TRUE,7,sun,
grass (465).jpg,TRUE,7,sun,
grass (466).jpg,TRUE,8,sun,
grass (467).jpg,TRUE,8,sun,picture does not load
grass (468).jpg,TRUE,6,sun,
grass (469).jpg,TRUE,6,sun,
grass (470).jpg,TRUE,6,sun,
grass (471).jpg,TRUE,6,sun,
grass (472).jpg,TRUE,6,sun,
grass (473).jpg,TRUE,6,sun,
grass (474).jpg,TRUE,6,sun,
grass (475).jpg,TRUE,7,sun,
grass (476).jpg,TRUE,7,sun,
grass (477).jpg,TRUE,7,sun,
grass (478).jpg,TRUE,7,sun,
grass (479).jpg,TRUE,6,sun,
grass (480).jpg,TRUE,7,sun,
grass (481).jpg,TRUE,6,sun,
grass (482).jpg,TRUE,7,sun,
grass (483).jpg,TRUE,6,sun,
grass (484).jpg,TRUE,6,sun,
grass (485).jpg,TRUE,6,partial,
grass (486).jpg,FALSE,4,partial,
grass (487).jpg,FALSE,4,partial,
grass (488).jpg,FALSE,4,partial,
grass (489).jpg,FALSE,4,partial,
grass (490).jpg,FALSE,4,partial,
grass (491).jpg,FALSE,4,partial,
grass (492).jpg,TRUE,5,partial,
grass (493).jpg,TRUE,5,partial,
grass (494).jpg,FALSE,4,partial,
grass (495).jpg,FALSE,4,partial,
grass (496).jpg,FALSE,4,partial,
grass (497).jpg,FALSE,4,partial,
grass (498).jpg,FALSE,4,partial,
grass (499).jpg,FALSE,4,partial,
grass (500).jpg,FALSE,4,partial,
grass (501).jpg,FALSE,4,partial,
grass (502).jpg,FALSE,4,partial,
grass (503).jpg,FALSE,4,partial,
grass (504).jpg,FALSE,4,partial,
grass (505).jpg,FALSE,4,partial,
grass (506).jpg,FALSE,4,sun,
grass (507).jpg,FALSE,4,sun,
grass (508).jpg,FALSE,4,sun,
grass (509).jpg,FALSE,4,sun,
grass (510).jpg,FALSE,4,sun,
grass (511).jpg,FALSE,4,sun,
grass (512).jpg,FALSE,4,sun,
grass (513).jpg,FALSE,4,sun,
grass (514).jpg,FALSE,4,sun,
grass (515).jpg,FALSE,4,sun,
grass (516).jpg,FALSE,3,partial,
grass (517).jpg,FALSE,3,partial,
grass (518).jpg,FALSE,3,sun,
grass (519).jpg,FALSE,3,sun,
grass (520).jpg,FALSE,3,sun,
grass (521).jpg,FALSE,3,sun,
grass (522).jpg,FALSE,3,sun,
grass (523).jpg,FALSE,3,sun,
grass (524).jpg,FALSE,3,sun,
grass (525).jpg,FALSE,3,sun,
grass (526).jpg,FALSE,3,partial,
grass (527).jpg,FALSE,3,partial,
grass (528).jpg,TRUE,7,partial,
grass (529).jpg,TRUE,7,sun,
grass (530).jpg,TRUE,7,sun,
grass (531).jpg,FALSE,4,partial,
grass (532).jpg,FALSE,4,partial,
grass (533).jpg,FALSE,4,partial,
grass (534).jpg,FALSE,2,shade,
grass (535).jpg,FALSE,2,shade,
grass (536).jpg,FALSE,3,shade,
grass (537).jpg,FALSE,3,shade,
grass (538).jpg,FALSE,3,shade,
grass (539).jpg,FALSE,3,shade,
grass (540).jpg,FALSE,3,shade,
grass (541).jpg,FALSE,4,shade,
grass (542).jpg,FALSE,4,shade,
grass (543).jpg,FALSE,4,shade,
grass (544).jpg,FALSE,3,shade,
grass (545).jpg,FALSE,3,shade,
grass (546).jpg,FALSE,3,shade,
grass (547).jpg,FALSE,3,shade,
grass (548).jpg,FALSE,3,shade,
grass (549).jpg,FALSE,4,shade,
grass (550).jpg,FALSE,4,shade,
grass (551).jpg,FALSE,3,shade,
grass (552).jpg,FALSE,4,shade,
grass (553).jpg,FALSE,3,partial,
grass (554).jpg,FALSE,3,shade,
grass (555).jpg,FALSE,4,shade,
grass (556).jpg,FALSE,3,shade,
grass (557).jpg,FALSE,3,shade,
grass (558).jpg,FALSE,4,shade,
grass (559).jpg,FALSE,3,shade,
grass (560).jpg,FALSE,3,shade,
grass (561).jpg,FALSE,4,shade,
grass (562).jpg,FALSE,4,shade,
grass (563).jpg,FALSE,4,shade,
grass (564).jpg,FALSE,4,shade,
grass (565).jpg,FALSE,4,shade,
grass (566).jpg,FALSE,3,shade,
grass (567).jpg,FALSE,3,shade,
grass (568).jpg,FALSE,4,shade,
grass (569).jpg,TRUE,7,partial,
grass (570).jpg,TRUE,9,shade,
grass (571).jpg,TRUE,8,shade,
grass (572).jpg,TRUE,7,shade,
grass (573).jpg,TRUE,6,shade,
grass (574).jpg,TRUE,7,shade,
grass (575).jpg,TRUE,6,partial,
grass (576).jpg,TRUE,7,shade,
grass (577).jpg,TRUE,7,shade,
grass (578).jpg,TRUE,7,shade,
grass (579).jpg,TRUE,7,shade,
grass (580).jpg,TRUE,7,shade,
grass (581).jpg,TRUE,7,shade,
grass (582).jpg,TRUE,6,shade,
grass (583).jpg,TRUE,7,shade,
grass (584).jpg,TRUE,8,shade,
grass (585).jpg,TRUE,7,shade,
grass (586).jpg,TRUE,7,shade,
grass (587).jpg,TRUE,7,shade,
grass (588).jpg,TRUE,7,shade,
grass (589).jpg,TRUE,7,shade,
grass (590).jpg,TRUE,6,partial,
grass (591).jpg,TRUE,6,partial,
grass (592).jpg,FALSE,2,shade,
grass (593).jpg,FALSE,2,shade,
grass (594).jpg,FALSE,2,shade,
grass (595).jpg,FALSE,1,shade,
grass (596).jpg,FALSE,1,shade,
grass (597).jpg,FALSE,1,shade,
grass (598).jpg,FALSE,1,shade,
grass (599).jpg,FALSE,1,shade,
grass (600).jpg,FALSE,1,sun,
grass (601).jpg,FALSE,1,sun,
grass (602).jpg,FALSE,1,sun,
grass (603).jpg,FALSE,1,sun,
grass (604).jpg,FALSE,1,sun,
grass (605).jpg,FALSE,1,sun,
grass (606).jpg,FALSE,1,sun,
grass (607).jpg,FALSE,1,sun,
grass (608).jpg,FALSE,1,sun,
grass (609).jpg,FALSE,1,sun,
grass (610).jpg,FALSE,1,sun,
grass (611).jpg,FALSE,1,sun,
grass (612).jpg,FALSE,1,sun,
grass (613).jpg,TRUE,7,sun,
grass (614).jpg,TRUE,7,partial,
grass (615).jpg,TRUE,7,partial,
grass (616).jpg,TRUE,7,partial,
grass (617).jpg,TRUE,7,partial,
grass (618).jpg,TRUE,7,partial,
grass (619).jpg,TRUE,5,partial,
grass (620).jpg,FALSE,4,partial,
grass (621).jpg,FALSE,4,partial,
grass (622).jpg,TRUE,6,partial,
grass (623).jpg,TRUE,7,partial,
grass (624).jpg,TRUE,7,shade,
grass (625).jpg,TRUE,7,shade,
grass (626).jpg,TRUE,7,shade,
grass (627).jpg,TRUE,8,sun,
grass (628).jpg,TRUE,7,shade,
grass (629).jpg,TRUE,7,shade,
grass (630).jpg,TRUE,8,shade,
grass (631).jpg,TRUE,8,shade,
grass (632).jpg,TRUE,8,sun,
grass (633).jpg,TRUE,8,shade,
grass (634).jpg,TRUE,8,shade,
grass (635).jpg,TRUE,7,sun,
grass (636).jpg,TRUE,6,sun,
grass (637).jpg,TRUE,7,sun,
grass (638).jpg,TRUE,7,sun,
grass (639).jpg,TRUE,7,sun,
grass (640).jpg,TRUE,7,sun,
grass (641).jpg,TRUE,7,sun,
grass (642).jpg,TRUE,7,sun,
grass (643).jpg,TRUE,7,sun,
grass (644).jpg,FALSE,4,sun,
grass (645).jpg,FALSE,4,sun,
grass (646).jpg,FALSE,4,sun,
grass (647).jpg,FALSE,4,sun,
grass (648).jpg,FALSE,2,sun,
grass (649).jpg,FALSE,2,sun,
grass (650).jpg,FALSE,2,sun,
grass (651).jpg,TRUE,6,sun,
grass (652).jpg,TRUE,6,sun,
grass (653).jpg,TRUE,6,sun,
grass (654).jpg,TRUE,6,sun,
grass (655).jpg,TRUE,7,sun,
grass (656).jpg,TRUE,7,sun,
grass (657).jpg,TRUE,6,sun,
grass (658).jpg,TRUE,5,sun,
grass (659).jpg,TRUE,6,sun,
grass (660).jpg,TRUE,6,sun,
grass (661).jpg,TRUE,5,sun,
grass (662).jpg,TRUE,7,sun,
grass (663).jpg,TRUE,7,sun,
grass (664).jpg,TRUE,6,sun,
grass (665).jpg,TRUE,6,sun,
grass (666).jpg,TRUE,6,sun,
grass (667).jpg,TRUE,6,sun,
grass (668).jpg,TRUE,5,sun,
grass (669).jpg,TRUE,6,sun,
grass (670).jpg,TRUE,6,sun,
grass (671).jpg,TRUE,5,sun,
grass (672).jpg,TRUE,5,sun,
grass (673).jpg,TRUE,5,sun,
grass (674).jpg,TRUE,5,sun,
grass (675).jpg,TRUE,5,sun,
grass (676).jpg,TRUE,5,sun,
grass (677).jpg,TRUE,5,sun,
grass (678).jpg,TRUE,5,sun,
grass (679).jpg,TRUE,5,sun,
grass (680).jpg,TRUE,5,sun,
grass (681).jpg,TRUE,5,sun,
grass (682).jpg,TRUE,5,sun,
grass (683).jpg,FALSE,4,sun,
grass (684).jpg,FALSE,4,sun,
grass (685).jpg,FALSE,4,sun,
grass (686).jpg,FALSE,4,sun,
grass (687).jpg,FALSE,4,sun,
grass (688).jpg,FALSE,4,sun,
grass (689).jpg,FALSE,3,sun,
grass (690).jpg,FALSE,3,sun,
grass (691).jpg,FALSE,3,sun,
grass (692).jpg,TRUE,6,sun,
grass (693).jpg,TRUE,6,sun,
